N,v,beta,T,i0,eps,J_v,J_beta,time_v,time_beta
100,0.5,8,20,1,0.001,"-100.7239157843074","1.6548321525213794",2.741874,2.836439
100,0.5,16,5,1,0.001,"-99.22359311049789","0.4011686223819311",2.192553,2.196484
100,0.5,16,10,1,0.001,"-99.04114621991411","0.39179561269619967",2.306225,2.312518
100,0.5,16,15,1,0.001,"-99.04106535402946","0.39179319018955994",2.805809,2.821327
100,0.5,16,20,1,0.001,"-99.04106525885226","0.3917931876635805",3.115558,3.046981
100,0.8,1,5,1,0.001,"-1.5061483748413096","0.2996356009392631",2.249858,2.166794
100,0.8,1,10,1,0.001,"-1.5074753373891525","0.29988405401271123",2.731852,2.484942
100,0.8,1,15,1,0.001,"-1.5074755195546574","0.2998840861228036",2.848902,2.505084
100,0.8,1,20,1,0.001,"-1.5074755195638723","0.2998840861243579",2.773063,2.794214
100,0.8,2,5,1,0.001,"-4.712047520342377","0.4596621569045167",2.218374,2.287296
100,0.8,2,10,1,0.001,"-4.77472152888736","0.4650193095341315",2.385519,2.385009
100,0.8,2,15,1,0.001,"-4.774809523765189","0.46502592624608763",2.559277,2.490014
100,0.8,2,20,1,0.001,"-4.774809556135962","0.46502592841901613",2.823785,2.792822
100,0.8,4,5,1,0.001,"-19.94673808002334","0.8959679637992046",2.445084,2.261116
100,0.8,4,10,1,0.001,"-21.345274743935327","0.9421317228051063",2.626938,2.469897
100,0.8,4,15,1,0.001,"-21.35193798648327","0.9422975429480562",2.919840,2.739339
100,0.8,4,20,1,0.001,"-21.351944273755084","0.9422976653670201",3.073855,3.007216
100,0.8,8,5,1,0.001,"-69.9120718642301","1.2001737859947958",2.184263,2.289919
100,0.8,8,10,1,0.001,"-74.57576071693906","1.2225290465925909",2.467414,2.534535
100,0.8,8,15,1,0.001,"-74.59932113130074","1.2225311537461536",2.595369,2.640393
100,0.8,8,20,1,0.001,"-74.59934306357674","1.222531113043157",2.733259,2.706817
100,0.8,16,5,1,0.001,"-101.26163875057337","0.469448743822376",2.379318,2.242726
100,0.8,16,10,1,0.001,"-101.92410083015879","0.4499972459370838",2.629903,2.661682
100,0.8,16,15,1,0.001,"-101.9263860731634","0.4499545344085476",2.728589,2.596907
100,0.8,16,20,1,0.001,"-101.92638735539727","0.4499545194240895",2.994253,3.050510
100,0.99,1,5,1,0.001,"-1.0088430026661266","0.01000886161028891",2.340554,2.236351
100,0.99,1,10,1,0.001,"-1.0088430030128492","0.010008861613397535",2.580016,2.325920
100,0.99,1,15,1,0.001,"-1.0088430030128492","0.010008861613397535",2.669302,2.594787
100,0.99,1,20,1,0.001,"-1.0088430030128492","0.010008861613397535",2.763273,2.824026
100,0.99,2,5,1,0.001,"-2.053151088729499","0.010094917624492439",2.256882,2.174041
100,0.99,2,10,1,0.001,"-2.0531511041440575","0.010094917689440486",2.544426,2.487411
100,0.99,2,15,1,0.001,"-2.0531511041440575","0.010094917689440486",2.629928,2.642804
100,0.99,2,20,1,0.001,"-2.0531511041440575","0.010094917689440486",3.203793,2.770881
100,0.99,4,5,1,0.001,"-4.23316551603492","0.010198728127686074",2.485395,2.254055
100,0.99,4,10,1,0.001,"-4.233165999520727","0.010198729016752672",2.663102,2.358907
100,0.99,4,15,1,0.001,"-4.233165999520838","0.010198729016863695",2.579141,2.550628
100,0.99,4,20,1,0.001,"-4.233165999520838","0.010198729016863695",2.802872,2.872412
100,0.99,8,5,1,0.001,"-8.842914183871287","0.010157694722678912",2.252455,2.259603
100,0.99,8,10,1,0.001,"-8.842922290498878","0.010157700369939349",2.530423,2.499548
100,0.99,8,15,1,0.001,"-8.842922290498988","0.010157700369939349",2.798395,2.735366
100,0.99,8,20,1,0.001,"-8.842922290498988","0.010157700369939349",2.970833,2.939838
100,0.99,16,5,1,0.001,"-18.235633580089726","0.009414033575128045",2.398081,2.254839
100,0.99,16,10,1,0.001,"-18.235685075012274","0.00941404340915053",2.597740,2.526602
100,0.99,16,15,1,0.001,"-18.235685075012942","0.009414043408928485",2.857811,2.887213
100,0.99,16,20,1,0.001,"-18.235685075012942","0.009414043408928485",2.883066,2.964149
150,0.01,1,5,1,0.001,"-11.967871041155487","11.518116872963446",6.100104,6.016483
150,0.01,1,10,1,0.001,"-22.756510049663614","21.128525428873335",7.460871,7.619648
150,0.01,1,15,1,0.001,"-25.03674519428012","22.988289067189527",8.908306,11.028935
150,0.01,1,20,1,0.001,"-25.266609365472092","23.162946577678145",12.668061,12.123160
150,0.01,2,5,1,0.001,"-106.72023234928929","45.90607784374967",8.157753,7.933225
150,0.01,2,10,1,0.001,"-179.70121750366275","60.86315422555444",9.540489,9.673540
150,0.01,2,15,1,0.001,"-178.3315787956674","57.52825209939516",11.891714,10.810356
150,0.01,2,20,1,0.001,"-177.92275318992878","57.11435390902153",9.744292,10.989663
150,0.01,4,5,1,0.001,"-162.84429199705386","15.676287137821987",7.456564,7.916699
150,0.01,4,10,1,0.001,"-149.34359809139863","9.458036983801321",9.372160,9.255963
150,0.01,4,15,1,0.001,"-149.26154047908113","9.434629585271637",11.161870,11.217435
150,0.01,4,20,1,0.001,"-149.26119648427516","9.434546008392886",12.875379,12.486054
150,0.01,8,5,1,0.001,"-149.75866712903496","2.5031704881968153",7.524203,8.215675
150,0.01,8,10,1,0.001,"-149.01641222351714","2.3457352504010487",10.213603,10.253712
150,0.01,8,15,1,0.001,"-149.01631706766238","2.3457213686981504",11.551990,11.590412
150,0.01,8,20,1,0.001,"-149.0163170586669","2.345721367547071",13.188289,13.858039
150,0.01,16,5,1,0.001,"-149.030472354454","0.5890169141196111",7.251110,7.252113
150,0.01,16,10,1,0.001,"-149.0017843748177","0.5860456793840285",9.294608,9.622639
150,0.01,16,15,1,0.001,"-149.00178426958632","0.586045671710167",10.867459,12.346221
150,0.01,16,20,1,0.001,"-149.00178426958632","0.586045671710167",14.076954,12.784256
150,0.3,1,5,1,0.001,"-5.684134204519076","3.907860602381019",8.477614,7.914507
150,0.3,1,10,1,0.001,"-7.187876378153213","4.886152760748219",10.375531,10.129336
150,0.3,1,15,1,0.001,"-7.286479153854497","4.946438661992403",12.341262,11.624661
150,0.3,1,20,1,0.001,"-7.289456284255813","4.9481633959778115",13.971650,15.066457
150,0.3,2,5,1,0.001,"-47.61449134267259","15.317257039628274",8.426772,8.841566
150,0.3,2,10,1,0.001,"-94.7722441354717","27.43714867983016",8.578991,9.016797
150,0.3,2,15,1,0.001,"-101.47360780706371","28.699332608383088",10.936975,10.983173
150,0.3,2,20,1,0.001,"-102.01405517468132","28.781048072900717",13.136853,12.346650
150,0.3,4,5,1,0.001,"-172.56885663112698","18.75659525881801",7.776830,7.736807
150,0.3,4,10,1,0.001,"-163.6556533228557","12.01642939059866",9.633042,8.741562
150,0.3,4,15,1,0.001,"-162.27522650832782","11.70971366593676",11.218768,11.282176
150,0.3,4,20,1,0.001,"-162.22575671142891","11.699835337395825",13.251869,13.501610
150,0.3,8,5,1,0.001,"-151.6076959742776","2.7349124017916893",9.201415,8.671041
150,0.3,8,10,1,0.001,"-149.0840541271723","2.350812702694327",10.163514,9.959084
150,0.3,8,15,1,0.001,"-149.08138753438038","2.35055061639855",10.259872,11.063184
150,0.3,8,20,1,0.001,"-149.0813845060046","2.3505503719007947",12.787265,13.529760
150,0.3,16,5,1,0.001,"-149.1161102693468","0.5942135441472374",7.738117,8.357416
150,0.3,16,10,1,0.001,"-149.00783272333484","0.5862696023584135",10.232047,10.311752
150,0.3,16,15,1,0.001,"-149.0078298361226","0.5862694576777017",10.863871,10.930734
150,0.3,16,20,1,0.001,"-149.00782983604444","0.5862694576777017",13.015095,13.548438
150,0.5,1,5,1,0.001,"-3.297088104389667","1.6297721341345106",8.804220,9.040480
150,0.5,1,10,1,0.001,"-3.520904024073679","1.73539733586614",10.925844,10.355992
150,0.5,1,15,1,0.001,"-3.5245045328243796","1.7370112955373829",11.143950,13.313657
150,0.5,1,20,1,0.001,"-3.524531211059112","1.7370227079175349",12.073078,12.212201
150,0.5,2,5,1,0.001,"-21.639164212567064","5.120929768876792",7.637441,8.018182
150,0.5,2,10,1,0.001,"-33.177374037656634","7.499508536211508",9.821866,9.684302
150,0.5,2,15,1,0.001,"-34.22153841267139","7.6851821446610735",11.306877,10.717442
150,0.5,2,20,1,0.001,"-34.260147900089684","7.691303366734736",12.435706,12.080791
150,0.5,4,5,1,0.001,"-129.62640422569115","12.600207855355094",8.856343,7.944933
150,0.5,4,10,1,0.001,"-167.04738780143913","13.38397420716575",10.558942,9.826634
150,0.5,4,15,1,0.001,"-167.94915801866495","13.222537387807876",11.886981,11.498265
150,0.5,4,20,1,0.001,"-167.9951814243843","13.215344739084145",13.469067,14.182576
150,0.5,8,5,1,0.001,"-157.3006126486689","3.226524365032901",7.558414,7.290875
150,0.5,8,10,1,0.001,"-150.35601758337336","2.417971300019417",9.522508,9.436915
150,0.5,8,15,1,0.001,"-150.2751403809306","2.4124757658547935",10.372649,11.541590
150,0.5,8,20,1,0.001,"-150.27418958832683","2.412415710821847",13.004005,12.097941
150,0.5,16,5,1,0.001,"-149.41939140889104","0.6071432269436627",8.215862,7.223370
150,0.5,16,10,1,0.001,"-149.0354806525147","0.5869897664965151",9.407824,10.051721
150,0.5,16,15,1,0.001,"-149.0353944016789","0.5869868770318476",12.009628,11.350097
150,0.5,16,20,1,0.001,"-149.03539436427593","0.5869868760797203",13.297465,13.566742
