beta_conf,v_conf,N,i0,T,v,beta,beta_grad,beta_grad_se,v_grad,v_grad_se,total_size_mean,total_size_se,N_samples
10,10,1000,1,10,0.2,2.7,230.6665676900168,14.773629026482386,-862.5366,80.22348761280901,314.0305,3.7386822506696324,10000
10,10,1000,1,10,0.25,2.7,183.34474906707044,12.98126236319788,-914.2848,111.5313026923694,267.8608,3.454356822976174,10000
10,10,1000,1,10,0.3,2.7,171.53642189394822,11.683989345540772,-814.4847,96.00250744631721,222.2352,3.142129934638066,10000
10,10,1000,1,10,0.35,2.7,161.8217691354273,10.109844907967645,-794.8044,93.63481869455006,183.3508,2.823286731583045,10000
10,10,1000,1,10,0.4,2.7,113.8344448766574,8.393560829195115,-688.2111,69.65715360893358,144.8913,2.4979691418058674,10000
10,10,1000,1,10,0.45,2.7,96.77585360936426,7.643374936115165,-633.8655,71.60513067912756,117.0214,2.2290295537473583,10000
10,10,1000,1,10,0.5,2.7,76.07602602859065,6.1356615628640885,-589.41,77.70149149912191,88.1168,1.897470346315724,10000
10,10,1000,1,10,0.55,2.7,56.705757392035494,5.137817559099209,-396.0036,62.12473634314493,63.7928,1.577298885434653,10000
10,10,1000,1,10,0.6,2.7,37.51837192856386,3.910612786645659,-279.6201,17.515474140343304,46.6081,1.293712990106027,10000
10,10,1000,1,10,0.65,2.7,28.81303100498989,2.9880659378739027,-229.1706,19.61950883794669,32.3128,1.0469399237474868,10000
10,10,1000,1,10,0.7,2.7,17.546578794152317,2.026570201059347,-172.3275,17.75990438275903,20.8225,0.782305170322267,10000
10,10,1000,1,10,0.75,2.7,13.495251295645156,1.6127017992663526,-172.7271,45.00473941508318,12.8684,0.5689861708954507,10000
10,10,1000,1,10,0.8,2.7,8.107076056795574,1.0758691081710163,-82.0179,18.675981253083748,7.2306,0.38848201269996935,10000
10,10,1000,1,10,0.85,2.7,3.220004641783622,0.6712632354481609,-38.7612,6.873104711430885,4.1658,0.2523703233623387,10000
