cbeta_star_mean,cbeta_star_sd,cbeta_norm_mean,cbeta_norm_sd,v,N,i0,T,N_samples,v_conf
59.49225721851482,9.918270207927312,0.0012875878254757357,9.796351350020679e-05,0.39897959183673465,1000,1,10,10000,10
61.199905367702314,11.952445771441305,0.0012327476206774304,8.582224912884165e-05,0.41734693877551016,1000,1,10,10000,10
63.135325151087294,9.569952129146293,0.0012009562655853794,7.629857563032876e-05,0.43571428571428567,1000,1,10,10000,10
79.64480503695154,15.534620354015246,0.0011984900660379175,7.415002463187834e-05,0.4540816326530612,1000,1,10,10000,10
91.91946437100472,17.149385615319712,0.001103838376056778,6.776236389691867e-05,0.4724489795918367,1000,1,10,10000,10
97.3421895317232,10.828748140890045,0.0011511694047214138,7.565303413094846e-05,0.4908163265306122,1000,1,10,10000,10
91.61010439281299,7.952350759427188,0.0011400327576484637,7.230446193332748e-05,0.5091836734693878,1000,1,10,10000,10
107.38769973313077,9.602526055755796,0.0011574705418105112,7.482044362228262e-05,0.5275510204081633,1000,1,10,10000,10
121.94777710946177,11.328875182112506,0.0010831216632981966,6.870047840224802e-05,0.5459183673469388,1000,1,10,10000,10
136.97813475564658,14.571945010229156,0.0010409255872770085,6.717927944431488e-05,0.5642857142857143,1000,1,10,10000,10
140.30316503567082,13.396422959194076,0.00098137189615185,6.256168422965045e-05,0.5826530612244898,1000,1,10,10000,10
181.83175940813538,19.37576496718161,0.0009061654087889879,5.6165518218522424e-05,0.6010204081632653,1000,1,10,10000,10
188.79690563419018,21.556685805947755,0.0008767918867530948,5.0813420188897656e-05,0.6193877551020408,1000,1,10,10000,10
198.21770356527554,22.126973718681246,0.0008301592253319649,4.988255518725618e-05,0.6377551020408163,1000,1,10,10000,10
222.43242427083285,19.538530100126557,0.0007960591754925802,4.919355345014922e-05,0.6561224489795918,1000,1,10,10000,10
274.6530105059944,24.967943697358724,0.0007295363089868056,4.6414440301884626e-05,0.6744897959183673,1000,1,10,10000,10
422.8009840381019,50.944263152620906,0.0007372961778082048,4.601721944246244e-05,0.6928571428571428,1000,1,10,10000,10
443.385310805217,52.84914428755763,0.0006785612684355982,4.0281363274021876e-05,0.7112244897959183,1000,1,10,10000,10
504.9781988927402,61.88855615281037,0.0006276867101340678,3.7552000386314274e-05,0.7295918367346939,1000,1,10,10000,10
442.8443503060214,70.32906677270587,0.0005392411269395209,3.4313460854720984e-05,0.7479591836734694,1000,1,10,10000,10
460.24429469054724,109.80187629560845,0.00048689070478849457,3.090687721357594e-05,0.7663265306122449,1000,1,10,10000,10
612.5833829484859,106.77875015273698,0.0004329236711647676,3.025253469868431e-05,0.7846938775510204,1000,1,10,10000,10
518.8054621507779,168.06889407870577,0.0003784394100057378,2.548300866116066e-05,0.8030612244897959,1000,1,10,10000,10
-1200.178201720787,1210.8335391559192,0.0003034962493502102,2.221187325139179e-05,0.8214285714285714,1000,1,10,10000,10
-50309.12808551107,49315.477030465336,0.00024363564745446303,1.8707418312756073e-05,0.8397959183673469,1000,1,10,10000,10
-864.1380497971855,1151.683960214881,0.00017526311943227371,1.6236754691899233e-05,0.8581632653061224,1000,1,10,10000,10
-81670.57958462057,70034.24090108892,0.00011880284418134263,1.4596277881889102e-05,0.8765306122448979,1000,1,10,10000,10
-191342.43922647985,84917.11104585734,8.561650973967957e-05,1.0954314343849469e-05,0.8948979591836734,1000,1,10,10000,10
-21031883.325114734,16701526.879348416,2.28031783421006e-05,9.740256685629195e-06,0.9132653061224489,1000,1,10,10000,10
-5814946506.0978775,5752861275.989808,-7.581057590042381e-06,1.053349293618267e-05,0.9316326530612244,1000,1,10,10000,10
-1880358249521362.5,1879642223015144.2,-7.819754622364361e-06,4.205992296401211e-06,0.95,1000,1,10,10000,10
