,Unnamed: 0,total_size_mean,total_size_sd,v_mean,v_sd,beta_mean,beta_sd,fd_v_mean,fd_v_sd,fd_beta_mean,fd_beta_sd,beta,v,N_samples,N,T,i0
54,54,1.0264,0.1705961312574233,-2.7972,54.64867171205526,0.0114904878366787,0.0877743833437596,-2.4,21.77814107638378,0.0,0.0,2.4,0.99,10000,1000,10,1
65,65,1.0278,0.1755766499281724,-2.7972,58.18691986971292,0.0116635467718139,0.0872042350900427,-2.56,22.66048873645441,0.02,2.0,2.5,0.99,10000,1000,10,1
76,76,1.0289,0.1790664401835251,-3.3966,64.65667295009617,0.0116384942203801,0.0852358411539282,-2.68,23.170483100891808,0.0,0.0,2.6,0.99,10000,1000,10,1
87,87,1.0304,0.1851373544155797,-3.1968,59.85768425186862,0.0119500159869101,0.0863921925272355,-2.92,24.48537427435684,0.02,1.999999999999999,2.7,0.99,10000,1000,10,1
98,98,1.0317,0.1899871311431382,-2.8971,53.72241916948772,0.0121070240909468,0.0863354436819057,-3.02,25.03881575133742,0.0,0.0,2.8,0.99,10000,1000,10,1
109,109,1.0327,0.1924336509033698,-3.3966,58.15500588006926,0.0119684233431474,0.0835740721524956,-3.12,25.42302564651388,0.0,0.0,2.9,0.99,10000,1000,10,1
120,120,1.0339,0.1953222721555327,-3.996,63.05896944418563,0.0118915918647364,0.0810602093432026,-3.26,25.950717600374706,0.0,0.0,3.0,0.99,10000,1000,10,1
131,131,1.0353,0.1991328953237008,-3.996,66.14887717410734,0.0119295540695797,0.0795105673340321,-3.4,26.61786714004539,0.0,0.0,3.1,0.99,10000,1000,10,1
142,142,1.0366,0.2026337582931333,-4.1958,67.62881950827479,0.0119406591775062,0.078030210835578,-3.56,27.191916814266765,0.02,2.0,3.2,0.99,10000,1000,10,1
153,153,1.0383,0.2074442334701063,-4.1958,67.62881950827479,0.0121141364331446,0.0774417784583336,-3.78,28.10321296681049,0.0,0.0,3.3,0.99,10000,1000,10,1
164,164,1.0392,0.2108633680846438,-4.2957,68.35655728167079,0.0121229631583216,0.0771327559005678,-3.86,28.516341247990017,0.02,2.0,3.4000000000000004,0.99,10000,1000,10,1
175,175,1.041,0.2156826372242328,-4.3956,70.50660124216648,0.0122967465813233,0.0765239152793245,-4.18,29.57389155160596,0.06,3.463755153006054,3.5,0.99,10000,1000,10,1
186,186,1.0426,0.221777456022924,-3.3966,61.49182899331662,0.0126205244732791,0.0795923130948181,-4.34,30.3522079205544,0.06,4.471957048092479,3.6,0.99,10000,1000,10,1
197,197,1.0439,0.2262140358156407,-3.0969,55.53846201027039,0.0127408446284656,0.0795432061324004,-4.44,30.92542704965965,0.0,0.0,3.7,0.99,10000,1000,10,1
208,208,1.0452,0.2292530479622899,-2.997,56.43526986706537,0.0127156509710195,0.0780003108240885,-4.6,31.28798321703365,0.0,0.0,3.8,0.99,10000,1000,10,1
219,219,1.0457,0.2306762016333718,-4.1958,69.08890931328276,0.0125177593731723,0.0763769202444326,-4.54,31.104423295005027,0.02,2.0,3.9,0.99,10000,1000,10,1
230,230,1.0467,0.2326351435187727,-4.995,74.59498653530022,0.0123850347386568,0.0744648545338742,-4.68,31.53088992879792,0.0,0.0,4.0,0.99,10000,1000,10,1
