beta,v,N,size,dv,db
3.3,0.8,1000,7.395570986446984e-30,-1.8053893878679387e-28,8.700671748761146e-30
3.4000000000000004,0.8,1000,0.0,-0.0,0.0
3.5,0.8,1000,0.0,-0.0,0.0
3.6,0.8,1000,0.0,0.0,0.0
3.7,0.8,1000,-4.9303806576313224e-30,1.6497812200535575e-28,-7.585201011740491e-30
3.8,0.8,1000,4.9303806576313224e-30,-1.807806241131482e-28,8.217301096052188e-30
3.9,0.8,1000,0.0,-0.0,0.0
4.0,0.8,1000,2.0214560696288423e-28,-9.096552313329705e-27,4.042912139257642e-28
2.0,0.85,1000,0.0,-0.0,0.0
2.1,0.85,1000,0.0,-0.0,0.0
2.2,0.85,1000,0.0,-0.0,0.0
2.3,0.85,1000,0.0,0.0,0.0
2.4,0.85,1000,0.0,0.0,0.0
2.5,0.85,1000,0.0,0.0,0.0
2.6,0.85,1000,0.0,0.0,0.0
2.7,0.85,1000,0.0,-0.0,0.0
2.8,0.85,1000,0.0,0.0,0.0
2.9,0.85,1000,1.8488927466117468e-30,-3.130573559159712e-29,9.817129628026974e-31
3.0,0.85,1000,0.0,0.0,0.0
3.1,0.85,1000,0.0,0.0,0.0
3.2,0.85,1000,0.0,0.0,0.0
3.3,0.85,1000,7.395570986446987e-30,-1.4595879372591737e-28,4.3934085068001896e-30
3.4000000000000004,0.85,1000,0.0,-0.0,0.0
3.5,0.85,1000,0.0,-0.0,0.0
3.6,0.85,1000,0.0,-0.0,0.0
3.7,0.85,1000,0.0,0.0,0.0
3.8,0.85,1000,0.0,0.0,0.0
3.9,0.85,1000,0.0,0.0,0.0
4.0,0.85,1000,1.8488927466117468e-30,-4.930380657631324e-29,1.38666955995881e-30
2.0,0.9,1000,0.0,0.0,0.0
2.1,0.9,1000,0.0,-0.0,0.0
2.2,0.9,1000,0.0,-0.0,0.0
2.3,0.9,1000,0.0,-0.0,0.0
2.4,0.9,1000,0.0,0.0,0.0
