beta,v,N,size,dv,db
3.6,0.45,1000,344.35978704270946,-1508.1761714179388,134.7603075658769
3.7,0.45,1000,357.38868794182696,-1496.8247073618252,125.9094327316695
3.8,0.45,1000,369.5598452826115,-1484.4597930031086,117.60343180765751
3.9,0.45,1000,380.9270224752999,-1471.3657160429202,109.826697781617
4.0,0.45,1000,391.54212884207,-1457.772425083964,102.55817623852757
2.0,0.5,1000,1.3134192264496956e-13,-3.2762115543827967e-05,8.190528832544771e-06
2.1,0.5,1000,4.390017135418498,-354.1293078023109,82.22601750749381
2.2,0.5,1000,15.511618276455483,-630.8230497166188,136.31813935538813
2.3,0.5,1000,31.001011253753795,-847.4361707259955,170.7465539605409
2.4,0.5,1000,49.20332144902267,-1017.0746528787453,191.3891687459792
2.5,0.5,1000,68.95791402494973,-1149.7369865533535,202.3642317006908
2.6,0.5,1000,89.45179017336613,-1253.1216254186043,206.58039328305227
2.7,0.5,1000,110.11826813512549,-1333.205918492411,206.10544115225187
2.8,0.5,1000,130.56621244491603,-1394.6663573801413,202.4167736589842
2.9,0.5,1000,150.53013293026424,-1441.187121540861,196.57359580695388
3.0,0.5,1000,169.83470611278466,-1475.6889997640496,189.3365979230801
3.1,0.5,1000,188.36936789812367,-1500.5008908036675,181.2519604850677
3.2,0.5,1000,206.07000590789212,-1517.4894465270863,172.71084917364095
3.3,0.5,1000,222.90569958543486,-1528.1578957122179,163.9918934153558
3.4000000000000004,0.5,1000,238.86907696696565,-1533.7219632125757,155.29173665862555
3.5,0.5,1000,253.96928069087687,-1535.168617803093,146.74715091733444
3.6,0.5,1000,268.2268280137674,-1533.3018416474922,138.4511368916608
3.7,0.5,1000,281.6698530711394,-1528.7785153433904,130.46470394609617
3.8,0.5,1000,294.33136258173647,-1522.1367208047898,122.82552574227856
3.9,0.5,1000,306.24723747961565,-1513.8181887036235,115.55432227492209
4.0,0.5,1000,317.4547852735206,-1504.1861951961462,108.65957808113814
2.0,0.55,1000,-0.0,0.0,-0.0
2.1,0.55,1000,-3.328006943901143e-29,2.615342830661718e-27,-5.445829544565531e-28
2.2,0.55,1000,-1.6922915309737313e-25,7.483689214740308e-23,-1.5230623778742727e-23
2.3,0.55,1000,2.0117222221343174,-256.9472718580926,49.39763048435102
2.4,0.55,1000,9.382670196484753,-528.2170900854359,95.1312584758174
2.5,0.55,1000,20.54472070819207,-745.7363073782827,126.01464704481408
2.6,0.55,1000,34.22755810926338,-920.3089513946888,146.11979616090252
2.7,0.55,1000,49.508436778541004,-1060.3670000984719,158.39137528361897
2.8,0.55,1000,65.7168338497969,-1172.543127455632,164.97413339472766
2.9,0.55,1000,82.36647759222488,-1262.0923793172415,167.4396872760461
3.0,0.55,1000,99.10644132161285,-1333.205918492411,166.945407333324
3.1,0.55,1000,115.68566109510277,-1389.2467555069966,164.34689641388715
3.2,0.55,1000,131.92699992586356,-1432.9284763663193,160.27837951218135
3.3,0.55,1000,147.70816367798096,-1466.4518989307805,155.21066389117283
3.4000000000000004,0.55,1000,162.9475760096902,-1491.6103859208392,149.49326401608454
3.5,0.55,1000,177.59387025574625,-1509.8716016420976,143.3852429951993
3.6,0.55,1000,191.61803798546597,-1522.4414191666688,137.07794462209304
3.7,0.55,1000,205.00754146449464,-1530.3141978227334,130.71185069073925
3.8,0.55,1000,217.76188637357347,-1534.3125777762539,124.38915095414517
3.9,0.55,1000,229.88928601554753,-1535.1191569757411,118.18316272398421
4.0,0.55,1000,241.40414521239117,-1533.301841647492,112.14542088224519
2.0,0.6,1000,2.1693674893577825e-28,-4.8810768510549675e-27,8.677469957431047e-28
2.1,0.6,1000,0.0,-0.0,0.0
2.2,0.6,1000,-1.4692534359741345e-27,5.754575957565046e-26,-9.79502290649366e-27
2.3,0.6,1000,-1.6763294235946503e-28,1.0057976541567797e-26,-1.6763294235946325e-27
2.4,0.6,1000,9.860761315262648e-30,-1.207943261119668e-27,1.9721522630525194e-28
2.5,0.6,1000,1.112769755838282e-13,-3.358883811580196e-05,5.374214062094919e-06
2.6,0.6,1000,2.305782028103291,-290.14477092119364,43.75081782322084
2.7,0.6,1000,8.340151285763874,-528.2170900854379,75.16543879570791
2.8,0.6,1000,17.03127887401879,-723.8630069227477,97.3264013911001
2.9,0.6,1000,27.574083546658166,-884.7630711866603,112.52798100965722
3.0,0.6,1000,39.36265715921816,-1017.0746528787455,122.48906799742664
3.1,0.6,1000,51.94073558051179,-1125.7651798546747,128.5049472133419
3.2,0.6,1000,64.965097075689,-1214.8654936691967,131.55659387249676
3.3,0.6,1000,78.17831071007046,-1287.6641145706985,132.39010155097242
3.4000000000000004,0.6,1000,91.38830735712654,-1346.8573822643039,131.57489574958672
3.5,0.6,1000,104.45296995593222,-1394.6663573801427,129.54673514175
3.6,0.6,1000,117.2684443785462,-1432.9284763663184,126.63970726888391
3.7,0.6,1000,129.76022765691647,-1463.1698818357756,123.11019596686317
3.8,0.6,1000,141.8763429372525,-1486.6628534146555,119.15494695489731
3.9,0.6,1000,153.5820916925778,-1504.4716719853382,114.92476335937376
4.0,0.6,1000,164.85600472631364,-1517.4894465270868,110.53494347113022
2.0,0.65,1000,9.059574458397557e-28,-1.4667882456452855e-26,2.1139007069593716e-27
2.1,0.65,1000,1.7256332301709633e-29,-3.2280039399963556e-28,4.558276457055371e-29
2.2,0.65,1000,8.628166150854817e-30,-1.8971247313059644e-28,2.6259636111297244e-29
2.3,0.65,1000,4.141519752410311e-28,-1.0953030260953057e-26,1.486699398301104e-27
2.4,0.65,1000,-0.0,0.0,0.0
2.5,0.65,1000,7.420222889735141e-28,-3.1800955241721476e-26,4.1553248182516015e-27
2.6,0.65,1000,-8.628166150854817e-29,5.231681697819897e-27,-6.71079589510929e-28
2.7,0.65,1000,-7.765349535769334e-29,7.846028491985138e-27,-9.88317213643372e-28
2.8,0.65,1000,-5.885345495099944e-28,1.6621130811111717e-25,-2.0598709232847974e-26
2.9,0.65,1000,0.3027386032492269,-115.61732561033759,13.849422538058255
3.0,0.65,1000,3.0730119947928274,-354.1293078023097,40.290748578671845
3.1,0.65,1000,8.137506323680793,-554.818677180581,60.01581635145886
3.2,0.65,1000,14.90236901476644,-723.8630069227477,74.51552606506101
3.3,0.65,1000,22.905129622388838,-866.3276473048555,84.94228694979118
3.4000000000000004,0.65,1000,31.78511906442768,-986.3875540338832,92.19133083747984
3.5,0.65,1000,41.26092373183235,-1087.5004777219344,96.96121242024134
3.6,0.65,1000,51.113092994287186,-1172.5431274556315,99.79916711532901
3.7,0.65,1000,61.17079873690864,-1243.918929266763,101.13535851525906
3.8,0.65,1000,71.3014884302202,-1303.64383354831,101.30890876623377
3.9,0.65,1000,81.4028203007454,-1353.4150419886153,100.5878062551974
4.0,0.65,1000,91.39634871144057,-1394.6663573801427,99.18421909290234
2.0,0.7,1000,3.6977854932234935e-30,-4.930380657631324e-29,5.54667823983524e-30
2.1,0.7,1000,0.0,-0.0,0.0
2.2,0.7,1000,3.6977854932234935e-30,-6.01796462622647e-29,6.525503811570871e-30
2.3,0.7,1000,0.0,-0.0,0.0
2.4,0.7,1000,3.6977854932234935e-30,-7.571656009933818e-29,7.923826056907485e-30
2.5,0.7,1000,1.4791141972893974e-29,-3.451266460341925e-28,3.549874073494552e-29
2.6,0.7,1000,7.395570986446987e-30,-1.9945630842235808e-28,2.0169739053946326e-29
2.7,0.7,1000,2.5292852773648695e-27,-8.03159009128104e-26,7.987216665362315e-27
2.8,0.7,1000,-1.4791141972893974e-29,5.6699377562760295e-28,-5.546678239835248e-29
2.9,0.7,1000,5.176899690512891e-29,-2.4822570310920675e-27,2.389338318698247e-28
3.0,0.7,1000,0.0,0.0,0.0
3.1,0.7,1000,1.1108147621643374e-26,-1.0208916623695352e-24,9.521269389974748e-26
3.2,0.7,1000,-1.4791141972893974e-28,2.4158865222393702e-26,-2.218671295934116e-27
3.3,0.7,1000,6.291412238170452e-26,-4.173303451310439e-23,3.774847342893822e-24
3.4000000000000004,0.7,1000,0.4553103397946198,-152.27604914462518,13.302207177527325
3.5,0.7,1000,2.634010281251093,-354.1293078023119,29.60136630269786
3.6,0.7,1000,6.255113464322989,-528.2170900854393,42.2805593225858
3.7,0.7,1000,10.992977730100689,-678.4799815815004,52.04081533631066
3.8,0.7,1000,16.58482866434685,-808.2400912659602,59.44399966195821
3.9,0.7,1000,22.81837207284234,-920.3089513946901,64.94213162706788
4.0,0.7,1000,29.521992869413644,-1017.0746528787453,68.90010074855252
2.0,0.75,1000,0.0,-0.0,0.0
2.1,0.75,1000,0.0,-0.0,0.0
2.2,0.75,1000,0.0,0.0,0.0
2.3,0.75,1000,0.0,0.0,0.0
2.4,0.75,1000,3.0814879110195774e-30,-4.9303806576313215e-29,3.85185988877447e-30
2.5,0.75,1000,0.0,-0.0,0.0
2.6,0.75,1000,3.0814879110195774e-30,-5.810805775065488e-29,4.402125587170824e-30
2.7,0.75,1000,3.697785493223493e-29,-7.623127016799193e-28,5.688900758805366e-29
2.8,0.75,1000,0.0,-0.0,0.0
2.9,0.75,1000,0.0,0.0,0.0
3.0,0.75,1000,0.0,-0.0,0.0
3.1,0.75,1000,6.162975822039155e-30,-1.944761259399021e-28,1.3695501826753666e-29
3.2,0.75,1000,2.711709361697228e-28,-9.762153702109932e-27,6.779273404243002e-28
3.3,0.75,1000,1.8488927466117464e-29,-7.712524028723273e-28,5.282550704604979e-29
3.4000000000000004,0.75,1000,-2.465190328815662e-29,1.2161605622157268e-27,-8.217301096052208e-29
3.5,0.75,1000,8.092236024672838e-28,-4.809902506246071e-26,3.2368944098690726e-27
3.6,0.75,1000,-0.0,0.0,0.0
3.7,0.75,1000,3.3280069439011436e-28,-3.416753795738263e-26,2.2186712959339303e-27
3.8,0.75,1000,2.341930812374879e-28,-3.65341206730472e-26,2.3419308123748192e-27
3.9,0.75,1000,-1.4482993181792014e-26,4.576625845423303e-24,-2.896598636343677e-25
4.0,0.75,1000,4.133512012287345e-14,-2.7572995329249135e-05,1.723312197744291e-06
2.0,0.8,1000,0.0,0.0,0.0
2.1,0.8,1000,0.0,0.0,0.0
2.2,0.8,1000,0.0,0.0,0.0
2.3,0.8,1000,0.0,0.0,0.0
2.4,0.8,1000,0.0,0.0,0.0
2.5,0.8,1000,0.0,-0.0,0.0
2.6,0.8,1000,0.0,-0.0,0.0
2.7,0.8,1000,4.166171655698468e-28,-6.973809075843032e-27,3.6227579614768867e-28
2.8,0.8,1000,0.0,-0.0,0.0
2.9,0.8,1000,-0.0,0.0,-0.0
3.0,0.8,1000,2.4651903288156612e-30,-4.9303806576313204e-29,2.465190328815659e-30
3.1,0.8,1000,0.0,0.0,0.0
3.2,0.8,1000,0.0,0.0,0.0
