total_size_mean,total_size_sd,v_mean,v_sd,beta_mean,beta_sd,fd_v_mean,fd_v_sd,fd_beta_mean,fd_beta_sd,beta,v,N_samples,N,T,i0
15.5478,33.225431752800446,-198.3015,1868.5433358682244,24.677839517300697,105.7845727770112,-170.24,812.3966649575339,30.606,117.3441508085209,2.5,0.55,10000,1000,10,1
9.1627,19.927288543853628,-98.3016,1217.2502041254231,12.903797623683495,60.31481147795865,-94.8,531.8959027151201,15.756,73.25657046648888,2.5,0.6,10000,1000,10,1
5.5494,11.537701661942902,-52.2477,731.5370335040112,6.323048907710487,32.00286408767205,-50.66,342.00769191077063,7.734,41.12510633952383,2.5,0.65,10000,1000,10,1
3.6482,6.689890638866976,-31.5684,538.0062008830929,3.10974722187944,17.234454566739924,-23.72,192.46055623574057,3.582,25.785184963004582,2.5,0.7,10000,1000,10,1
2.6189,3.924062026777864,-16.1838,246.21577495835604,1.5154444202735962,7.719004137258579,-14.94,112.41912740286058,1.644,19.019291189309193,2.5,0.75,10000,1000,10,1
2.0063,2.357172100208213,-10.4895,231.27466979122184,0.7662444796959428,3.8782290381799096,-11.42,110.68337129337942,0.748,7.26675832663078,2.5,0.8,10000,1000,10,1
1.6006,1.4181959103029456,-5.1948,94.63571548218191,0.3698507128786217,1.718059051231124,-5.44,50.70171068461729,0.394,4.65262599967688,2.5,0.85,10000,1000,10,1
1.3367,0.8502547324184677,-3.7962,74.66560092007614,0.17427510089571288,0.7796117757056517,-3.84,37.54191443618657,0.128,1.9555046407104189,2.5,0.9,10000,1000,10,1
1.1447,0.45995859596272354,-3.3966,71.96239411704356,0.06579887432812637,0.32867115188532453,-3.68,29.97578113653545,0.074,1.5603741463981242,2.5,0.95,10000,1000,10,1
1.0243,0.16464965836587697,-3.3966,58.155005880069254,0.010292641037881398,0.08313422257752628,-2.36,21.782512430497512,0.014,0.5289914774344856,2.5,0.99,10000,1000,10,1
584.0028,469.79388586076766,-1375.2234,20940.23889986957,342.0784483924978,2013.388462306088,-1345.34,8702.480428071074,245.826,1512.3000505416533,2.6,0.01,10000,1000,10,1
532.5652,446.0348671897299,-1200.8979,14537.212080209263,360.8807237596615,1855.417369439511,-1313.74,7508.9254629781,272.796,1436.8984411213655,2.6,0.05,10000,1000,10,1
463.5793,412.10614495723064,-1500.1983,19883.970460360877,372.05690258142965,1641.1616630007911,-1494.1,8366.476258407612,327.404,1452.2856241584896,2.6,0.1,10000,1000,10,1
392.8323,373.2380100910276,-1195.6032,8476.576481365235,368.1432013531346,1420.6911715063773,-1396.24,6119.415216069153,318.466,1186.2591318581246,2.6,0.15,10000,1000,10,1
321.5725,330.0404837951702,-1258.9398,10121.076030599597,347.70029460868545,1197.9715658656914,-1401.24,5401.364636496378,306.902,936.398722047753,2.6,0.2,10000,1000,10,1
253.8999,282.0095925318676,-1422.3762,11934.453275813385,306.9809253735986,988.8891134373281,-1374.86,4945.675479749464,283.532,749.4594945221476,2.6,0.25,10000,1000,10,1
189.3859,231.75807640984166,-1152.2466,6516.354036866154,251.9146119706915,788.2825301283928,-1240.12,4195.548909101749,275.912,674.8758952603066,2.6,0.3,10000,1000,10,1
133.924,181.74374603820624,-1026.1728,6655.8819476603,192.44595538131475,606.0951271291163,-1002.2,3072.945730003372,221.726,519.853446352497,2.6,0.35,10000,1000,10,1
88.9915,134.88896184547497,-700.8984,5272.992606440881,136.0802113950064,445.5762398512659,-741.22,1927.9150907806406,163.82,416.90486752598207,2.6,0.4,10000,1000,10,1
55.8662,94.66853383020147,-579.0204,4241.230498121701,88.30499072829329,306.121302510094,-557.62,2029.2194826511193,112.93,314.36440256135836,2.6,0.45,10000,1000,10,1
32.7643,62.384816626403584,-331.7679,2900.3797715663927,52.13409233497555,195.96148716472769,-341.86,1235.880447473802,68.722,204.56273196046908,2.6,0.5,10000,1000,10,1
18.7624,39.07199695741184,-249.9498,2694.4360509099492,29.36592039888511,121.40991675483926,-210.36,903.7999534385823,35.582,128.29655987877334,2.6,0.55,10000,1000,10,1
10.7841,23.37054743025931,-109.5903,1068.1268701549384,15.265736657450564,68.95285823527246,-115.08,649.5650753224868,16.628,69.87072210719435,2.6,0.6,10000,1000,10,1
6.3287,13.432351108797,-81.0189,1462.6182731540332,7.46035703008036,37.07943991929277,-61.1,409.26218925519544,8.964,52.93852049968217,2.6,0.65,10000,1000,10,1
4.0064,7.6445901812981445,-41.6583,745.0535916473073,3.568637288421428,19.278264515755716,-30.2,214.71043304181958,3.87,27.10750046865564,2.6,0.7,10000,1000,10,1
2.7834,4.3919112513802006,-13.6863,228.9379373328611,1.704842907301146,9.676974544940299,-17.32,134.75100512923208,1.482,12.782019167619808,2.6,0.75,10000,1000,10,1
2.0805,2.525790915733129,-9.3906,191.94149573611887,0.805916293397339,3.983582686122244,-9.82,84.07303032151715,0.866,8.782810357498196,2.6,0.8,10000,1000,10,1
1.6361,1.4970894395459478,-5.4945,169.1605766714573,0.38402186051457327,1.8468032825375502,-6.06,55.56604321450153,0.394,4.98470146797905,2.6,0.85,10000,1000,10,1
1.3525,0.8864782851260374,-4.7952,102.74664152270097,0.17766828503633714,0.8385080993743272,-4.16,40.58151162670743,0.172,2.343280840298416,2.6,0.9,10000,1000,10,1
1.1516,0.4743600320431729,-2.997,56.43526986706538,0.06662231270734562,0.32826313369823623,-3.72,30.630955348185832,0.06,1.1647041055844856,2.6,0.95,10000,1000,10,1
1.0256,0.16835866476068287,-3.0969,55.53846201027039,0.01032704370966273,0.0805707694464841,-2.56,22.660488736454415,0.01,0.4471241348878405,2.6,0.99,10000,1000,10,1
606.8608,472.10018070676483,-1052.4465,13520.584064598783,277.12070676908473,1949.6282578377934,-1165.74,7499.868202488991,205.76,1549.4582874341766,2.7,0.01,10000,1000,10,1
558.1368,450.9669975572048,-1076.7222,9124.774892418493,312.8944855035764,1821.5885903989868,-1179.6,6425.095798943589,246.134,1526.0238821633473,2.7,0.05,10000,1000,10,1
494.1744,419.9329489152286,-1149.4494,9283.013884171294,335.0023643846878,1631.657795651327,-1199.9,5637.223236539586,256.578,1298.330719108817,2.7,0.1,10000,1000,10,1
423.6625,384.9562876402332,-1447.4511,14462.675453647453,338.9909881946767,1428.594865898326,-1355.02,6031.722388099168,293.1,1283.9189829562767,2.7,0.15,10000,1000,10,1
353.1344,344.36735405180326,-1485.513,14601.798841552773,331.66566269960913,1217.1955465367632,-1415.34,5777.921695758107,302.278,1138.610527840583,2.7,0.2,10000,1000,10,1
283.3545,299.7363501975528,-1347.8508,8948.758701751298,306.2624702633765,1014.4271894314062,-1367.98,4952.542729502568,278.274,822.3063417583313,2.7,0.25,10000,1000,10,1
