beta_conf,v_conf,N,i0,T,v,beta,beta_grad,beta_grad_se,v_grad,v_grad_se,total_size_mean,total_size_se,N_samples
10,10,1000,1,10,0.2,3.8,131.67207238105286,8.159543499382089,-1019.02995,88.09002867941572,478.84145,2.8088938133752253,20000
10,10,1000,1,10,0.2,3.9,122.21877827100067,7.972992031885297,-1165.88295,112.04345574595703,489.021,2.8030903577529727,20000
10,10,1000,1,10,0.2,4.0,115.4506957897436,7.802439079968292,-1046.20275,101.22901685361651,498.25755,2.7958065164820964,20000
10,10,1000,1,10,0.25,2.0,175.90664714086273,8.115136246471225,-637.31205,42.78292808814667,135.9033,1.8071772096086334,20000
10,10,1000,1,10,0.25,2.1,185.94814631892353,8.490840200807671,-635.8635,41.295134383478825,155.3437,1.9327468584986631,20000
10,10,1000,1,10,0.25,2.2,187.70553024069284,8.86335328884291,-704.7945,41.91595565259608,175.6497,2.047490810828347,20000
10,10,1000,1,10,0.25,2.3,189.80089366951208,9.112145026070957,-928.42065,88.32826050712983,195.33365,2.1479159209624687,20000
10,10,1000,1,10,0.25,2.4,191.7519999062186,9.254466850176717,-878.87025,72.48096257726957,215.5878,2.239716081552369,20000
10,10,1000,1,10,0.25,2.5,197.43012168238718,9.308929320774498,-822.0771,61.34962498574929,236.03715,2.323008135335242,20000
10,10,1000,1,10,0.25,2.6,194.1673407874533,9.264454735783627,-958.041,71.00844330146208,254.37665,2.3912042012583283,20000
10,10,1000,1,10,0.25,2.7,192.1383352077972,9.163592333039608,-1089.45945,94.2219194424416,272.75735,2.4499392071344968,20000
10,10,1000,1,10,0.25,2.8,188.66122606546682,9.024290146906406,-1030.0689,89.1322426741684,290.7202,2.4994797629811445,20000
10,10,1000,1,10,0.25,2.9,187.27960801295342,8.907622969503212,-1050.89805,87.29790734487369,308.1015,2.5423353758593037,20000
10,10,1000,1,10,0.25,3.0,183.15535369538358,8.833485182896338,-1014.5844,87.35119760515585,324.52555,2.5780122245077424,20000
10,10,1000,1,10,0.25,3.1,177.6830148346218,8.778599982665849,-957.89115,75.71045928507725,339.4348,2.605630943376029,20000
10,10,1000,1,10,0.25,3.2,173.75087023065515,8.690577530707973,-1019.52945,87.23085066220551,354.14255,2.629657978051319,20000
10,10,1000,1,10,0.25,3.3,165.28473589810062,8.545537831932974,-1134.91395,98.66140234424451,368.199,2.6490229965200007,20000
10,10,1000,1,10,0.25,3.4000000000000004,156.70902451037765,8.45307540797837,-929.8692,63.18401022281633,380.8704,2.6639985697464215,20000
10,10,1000,1,10,0.25,3.5,150.31464026702446,8.266520157419931,-1138.86,99.67220666459164,392.7225,2.675304323315128,20000
10,10,1000,1,10,0.25,3.6,142.1393084804514,8.125983030697082,-1084.7142,100.8543393489551,404.2316,2.6816658963545366,20000
10,10,1000,1,10,0.25,3.7,133.05961218684703,7.9060905902380245,-934.21485,68.95427302200258,415.06625,2.6851877410540794,20000
10,10,1000,1,10,0.25,3.8,124.00202519391785,7.699405488550849,-982.5165,80.56804378347125,424.7319,2.6863973389379003,20000
10,10,1000,1,10,0.25,3.9,119.07157682547677,7.521474327613669,-1060.8381,101.64564101077448,434.7807,2.686038365414858,20000
10,10,1000,1,10,0.25,4.0,106.76239517322388,7.3549149794088695,-974.27475,79.07458993046853,443.54115,2.6846928891642956,20000
10,10,1000,1,10,0.3,2.0,136.9967375647385,6.928526529886071,-492.85665,31.480984084094064,107.24115,1.5790355450389644,20000
10,10,1000,1,10,0.3,2.1,146.26989761671192,7.324110512460916,-608.64075,50.848979901639346,124.0532,1.702828893283171,20000
10,10,1000,1,10,0.3,2.2,150.78041460623803,7.631948414449479,-663.08625,56.28722772815173,141.27065,1.8171635573328504,20000
10,10,1000,1,10,0.3,2.3,154.08163671908775,7.92595402918274,-735.7635,58.0977766377587,159.20605,1.9232915333318514,20000
10,10,1000,1,10,0.3,2.4,154.39850511632247,8.069218982926582,-650.59875,31.573238380256665,176.50795,2.0180081391516635,20000
10,10,1000,1,10,0.3,2.5,156.1118087365712,8.194063470813957,-743.90535,49.62758826318694,193.36495,2.0998129544788187,20000
